,City,Country,Date,Latitude,Longitude,Maximum Temperature,Humidity,Cloud Level,Wind (m/h)
0,Bluff,NZ,1587583609,-46.6,168.33,48.99,85,82,1.99
1,Constitución,CL,1587583322,-35.33,-72.42,67.77,44,82,6.96
2,Kavieng,PG,1587583384,-2.57,150.8,81.25,76,100,0.72
3,Albany,US,1587583592,42.6,-73.97,45.0,28,75,34.45
4,Dingle,PH,1587583609,11.0,122.67,80.31,81,78,8.43
5,Dikson,RU,1587583609,73.51,80.55,16.88,96,64,9.91
6,Hobart,AU,1587583609,-42.88,147.33,50.0,76,94,8.05
7,Rikitea,PF,1587583609,-23.12,-134.97,75.4,78,100,15.17
8,Khatanga,RU,1587583609,71.97,102.5,20.53,97,90,2.55
9,Inhambane,MZ,1587583609,-23.86,35.38,75.2,78,3,12.46
10,Charyshskoye,RU,1587583610,51.4,83.56,55.63,34,75,6.58
11,Ushuaia,AR,1587583610,-54.8,-68.3,46.4,61,40,20.8
12,Tres Arroyos,AR,1587583610,-38.37,-60.28,63.57,39,82,9.4
13,Złocieniec,PL,1587583610,53.53,16.01,50.0,61,0,1.01
14,Salcedo,PH,1587583610,12.81,121.47,79.03,82,78,5.68
15,Cockburn Town,TC,1587583610,21.46,-71.14,80.01,75,0,3.67
16,Anadyr,RU,1587583610,64.75,177.48,0.0,84,0,4.47
17,George Town,MY,1587583330,5.41,100.34,78.8,100,40,2.77
18,Dehui,CN,1587583611,44.53,125.7,30.2,74,90,4.47
19,Hithadhoo,MV,1587583611,-0.6,73.08,84.38,70,97,7.11
20,Jamestown,US,1587583357,42.1,-79.24,37.0,47,1,13.87
21,Dāmghān,IR,1587583611,36.17,54.35,67.98,28,49,9.08
22,Kpandu,GH,1587583611,7.0,0.29,83.8,67,47,3.69
23,Saint Paul Harbor,US,1587583611,57.79,-152.41,44.6,81,90,5.82
24,Lebu,CL,1587583611,-37.62,-73.65,68.04,37,46,4.05
25,Atuona,PF,1587583611,-9.8,-139.03,81.45,69,0,13.15
26,Caravelas,BR,1587583611,-17.71,-39.25,79.14,71,38,14.47
27,Busselton,AU,1587583394,-33.65,115.33,57.99,81,12,9.8
28,Yellowknife,CA,1587583611,62.46,-114.35,25.0,41,90,5.82
29,Enid,US,1587583581,36.4,-97.88,62.6,100,90,11.41
30,New Norfolk,AU,1587583612,-42.78,147.06,50.0,79,97,4.9
31,Taiyuan,CN,1587583612,37.87,112.56,35.6,17,13,4.47
32,Faanui,PF,1587583612,-16.48,-151.75,80.8,77,15,17.11
33,Leningradskiy,RU,1587583612,69.38,178.42,11.08,90,98,5.53
34,Salinópolis,BR,1587583612,-0.61,-47.36,78.08,87,100,4.83
35,Sayyan,YE,1587583612,15.17,44.32,60.8,34,64,4.12
36,Puerto Ayora,EC,1587583612,-0.74,-90.35,87.8,62,20,14.99
37,Carnarvon,AU,1587583613,-24.87,113.63,71.6,83,24,11.41
38,Punta Arenas,CL,1587583435,-53.15,-70.92,48.2,81,75,8.05
39,Santander,ES,1587583613,43.46,-3.8,59.0,72,90,6.93
40,Zhangye,CN,1587583613,38.93,100.45,48.2,19,86,5.48
41,Cayenne,GF,1587583400,4.93,-52.33,80.6,83,75,3.36
42,Krasnosel'kup,RU,1587583613,65.7,82.47,34.95,91,100,13.78
43,Talnakh,RU,1587583613,69.49,88.4,26.6,86,75,4.47
44,Coahuayana Viejo,MX,1587583613,18.73,-103.68,84.2,51,40,5.12
45,Butaritari,KI,1587583613,3.07,172.79,83.52,78,62,14.07
46,Castro,BR,1587583614,-24.79,-50.01,73.72,31,0,4.83
47,Provideniya,RU,1587583614,64.38,-173.3,10.4,66,5,2.24
48,Mabaruma,GY,1587583614,8.2,-59.78,86.92,55,73,8.16
49,Tiksi,RU,1587583614,71.69,128.87,22.53,97,100,2.93
50,Talcahuano,CL,1587583614,-36.72,-73.12,64.4,72,31,11.41
51,Esperance,AU,1587583394,-33.87,121.9,59.0,87,52,8.05
52,Walvis Bay,NA,1587583614,-22.96,14.51,62.6,72,25,3.36
53,Catherinas Lust,GY,1587583614,6.4,-57.6,82.96,66,60,8.48
54,Cidreira,BR,1587583614,-30.18,-50.21,74.44,63,8,7.29
55,Tuktoyaktuk,CA,1587583614,69.45,-133.04,10.4,85,90,23.04
56,Port Elizabeth,ZA,1587583614,-33.92,25.57,59.0,87,0,5.82
57,Saldanha,ZA,1587583614,-33.01,17.94,64.4,68,5,6.93
58,Grand Forks,US,1587583600,47.93,-97.03,53.6,68,20,5.82
59,Mataura,NZ,1587583615,-46.19,168.86,48.99,85,88,1.99
60,Khani,GE,1587583615,41.96,42.96,44.6,100,90,6.93
61,Iqaluit,CA,1587583615,63.75,-68.51,12.2,72,75,21.92
62,Thompson,CA,1587583615,55.74,-97.86,35.6,51,90,9.17
63,Narsaq,GL,1587583615,60.92,-46.05,48.2,34,75,50.55
64,Bredasdorp,ZA,1587583615,-34.53,20.04,55.4,87,0,3.36
65,Kirakira,SB,1587583505,-10.45,161.92,80.49,79,73,5.08
66,Husavik,IS,1587583615,66.04,-17.34,50.0,53,99,4.7
67,Cabo San Lucas,MX,1587583615,22.89,-109.91,84.0,32,5,10.29
68,Klyuchi,RU,1587583615,52.27,79.17,65.97,29,80,13.44
69,Lompoc,US,1587583615,34.64,-120.46,81.0,53,1,14.99
70,Tautira,PF,1587583615,-17.73,-149.15,84.2,66,9,2.24
71,Ribeira Grande,PT,1587583615,38.52,-28.7,64.4,42,20,10.29
72,Barvinkove,UA,1587583615,48.91,37.02,43.95,70,56,10.13
73,Severo-Kuril'sk,RU,1587583616,50.68,156.12,32.23,96,100,38.16
74,Grand Gaube,MU,1587583616,-20.01,57.66,73.99,83,12,3.0
75,Salalah,OM,1587583616,17.02,54.09,84.2,79,75,5.82
76,Beyla,GN,1587583616,8.68,-8.63,82.36,54,77,3.91
77,Nadadores,MX,1587583616,27.05,-101.6,99.0,10,2,5.01
78,Challans,FR,1587583616,46.84,-1.87,60.01,80,89,10.42
79,Saskylakh,RU,1587583616,71.92,114.08,17.53,97,86,3.53
80,Yatou,CN,1587583616,37.15,122.38,42.76,58,16,13.4
81,Magán,ES,1587583616,39.97,-3.93,64.4,59,75,3.36
82,Muros,ES,1587583616,42.78,-9.06,59.0,74,45,8.01
83,Broome,US,1587583617,42.25,-75.83,42.01,47,65,8.01
84,Port Alfred,ZA,1587583617,-33.59,26.89,59.0,91,12,3.0
85,Cape Town,ZA,1587583607,-33.93,18.42,66.2,68,0,18.34
86,Mahébourg,MU,1587583617,-20.41,57.7,77.0,83,40,11.41
87,Karratha,AU,1587583617,-20.74,116.85,88.14,42,38,13.06
88,Isangel,VU,1587583617,-19.55,169.27,73.4,94,20,10.83
89,Tasiilaq,GL,1587583617,65.61,-37.64,34.54,93,100,20.07
90,East London,ZA,1587583608,-33.02,27.91,67.89,74,71,4.23
91,Vaini,TO,1587583617,-21.2,-175.2,75.2,100,75,3.36
92,City of San Pedro,PH,1587583617,14.35,121.02,84.2,66,20,10.29
93,Te Anau,NZ,1587583617,-45.42,167.72,46.15,72,95,6.89
94,Phan Thiet,VN,1587583549,10.93,108.1,77.83,88,90,7.05
95,Talara,PE,1587583618,-4.58,-81.27,84.2,51,33,12.75
96,Qaanaaq,GL,1587583618,77.48,-69.36,19.06,92,18,1.97
97,Oranjemund,NA,1587583618,-28.55,16.43,61.07,73,97,6.42
98,Nantucket,US,1587583618,41.28,-70.1,44.6,39,40,31.09
99,Tabuk,PH,1587583618,17.42,121.44,77.14,83,99,0.49
100,Hermanus,ZA,1587583618,-34.42,19.23,55.99,91,0,7.16
101,Hasaki,JP,1587583618,35.73,140.83,46.4,75,75,3.36
102,Sinnamary,GF,1587583618,5.38,-52.95,80.2,83,99,10.74
103,Nome,US,1587583618,64.5,-165.41,19.4,85,1,3.36
104,Hobyo,SO,1587583618,5.35,48.53,84.63,69,15,9.91
105,Dakar,SN,1587583463,14.69,-17.44,71.6,88,0,16.11
106,Krasne,UA,1587583619,49.91,24.61,41.0,66,42,3.51
107,Egvekinot,RU,1587583619,66.32,-179.17,11.03,88,83,5.66
108,Starogard Gdański,PL,1587583619,53.96,18.53,45.0,52,0,2.24
109,Deputatsky,RU,1587583619,69.3,139.9,11.71,92,99,2.3
110,Kérouané,GN,1587583619,9.27,-9.02,82.17,54,67,2.24
111,Kapaa,US,1587583346,22.08,-159.32,78.8,74,1,4.7
112,Kapoeta,SS,1587583619,4.77,33.59,77.09,59,64,4.34
113,Fukuechō,JP,1587583620,32.69,128.84,52.18,62,95,23.62
114,Taltal,CL,1587583620,-25.4,-70.48,69.46,60,1,6.38
115,Robertsport,LR,1587583620,6.75,-11.37,83.43,73,100,6.78
116,Rawson,AR,1587583620,-43.3,-65.1,65.61,31,0,11.1
117,Krasnoarmeyskiy,RU,1587583620,47.01,42.21,44.74,59,50,12.73
118,Souillac,MU,1587583620,-20.52,57.52,77.0,83,40,11.41
119,Bethel,US,1587583620,41.37,-73.41,48.99,26,75,12.75
120,Yambio,SS,1587583620,4.57,28.4,73.72,68,84,3.02
121,Antalaha,MG,1587583620,-14.9,50.28,76.59,83,27,11.68
122,Nazareno,MX,1587583621,25.38,-103.42,95.0,8,40,6.93
123,Sitka,US,1587583621,57.05,-135.33,44.6,93,90,12.75
124,Javānrūd,IR,1587583621,34.8,46.52,54.07,42,54,2.73
125,Luanda,AO,1587583443,-8.84,13.23,77.85,84,3,9.35
126,Fortuna,US,1587583621,40.6,-124.16,57.0,82,40,5.61
127,Gao,ML,1587583621,16.64,1.64,98.22,10,7,5.35
128,Rumuruti,KE,1587583621,0.27,36.54,63.07,52,96,9.66
129,Totness,SR,1587583621,5.88,-56.32,81.95,75,48,13.27
130,Barrow,US,1587583621,71.29,-156.79,19.4,92,90,9.17
131,Hilo,US,1587583622,19.73,-155.09,77.0,73,90,5.82
132,Upernavik,GL,1587583622,72.79,-56.15,31.23,95,5,10.36
133,Jiazi,CN,1587583622,22.88,116.07,66.31,80,100,15.57
134,Longyearbyen,SJ,1587583374,78.22,15.64,19.4,57,0,1.12
135,Vestmannaeyjar,IS,1587583622,63.44,-20.27,44.38,69,94,3.53
136,Yar-Sale,RU,1587583622,66.83,70.83,33.33,97,100,20.65
137,Carutapera,BR,1587583622,-1.2,-46.02,80.83,80,86,7.83
138,Labuhan,ID,1587583622,-6.88,112.21,79.68,84,100,5.86
139,Phek,IN,1587583622,25.67,94.5,51.6,62,53,2.37
140,Bemidji,US,1587583338,47.47,-94.88,51.8,34,1,10.29
141,Udine,IT,1587583622,46.06,13.24,63.0,37,1,1.99
142,Gravdal,NO,1587583622,68.12,13.5,39.2,93,75,2.24
143,Eyl,SO,1587583623,7.98,49.82,84.13,72,23,10.94
144,Van,TR,1587583623,38.49,43.38,59.0,44,75,21.92
145,Klaksvík,FO,1587583623,62.23,-6.59,50.0,66,0,6.93
146,Adelanto,US,1587583623,34.58,-117.41,72.0,33,1,3.36
147,Itarema,BR,1587583623,-2.92,-39.92,77.61,85,100,1.59
148,Zyryanka,RU,1587583623,65.75,150.85,18.07,94,100,9.51
149,Hong Kong,HK,1587583525,22.29,114.16,69.8,83,20,10.29
150,Rumoi,JP,1587583623,43.93,141.64,37.92,76,100,22.19
151,Mossamedes,AO,1587583623,-15.2,12.15,75.6,76,9,10.27
152,Goderich,CA,1587583623,43.75,-81.72,36.0,68,76,3.0
153,Arraial do Cabo,BR,1587583623,-22.97,-42.03,78.8,69,0,9.17
154,Sivaki,RU,1587583623,52.63,126.75,22.91,91,80,6.69
155,Lishan,CN,1587583624,31.86,113.3,55.99,55,95,2.26
156,Poum,NC,1587583624,-20.23,164.02,77.54,79,6,12.46
157,Port Said,EG,1587583624,31.26,32.28,69.8,88,15,20.8
158,Kavaratti,IN,1587583624,10.57,72.64,85.84,70,53,5.19
159,Northam,GB,1587583624,51.03,-4.22,61.0,76,66,1.01
160,Vila,PT,1587583624,42.03,-8.16,55.99,82,89,4.99
161,Kendallville,US,1587583624,41.44,-85.27,44.6,56,75,9.17
162,Pil'na,RU,1587583624,55.55,45.92,31.41,94,100,20.36
163,São Filipe,CV,1587583624,14.9,-24.5,71.11,79,17,22.37
164,Pevek,RU,1587583625,69.7,170.31,3.52,92,0,5.53
165,Calatayud,ES,1587583625,41.35,-1.64,59.0,87,90,10.29
166,Burnie,AU,1587583625,-41.07,145.92,48.0,88,100,1.01
167,Vila Velha,BR,1587583625,-20.33,-40.29,79.0,73,10,14.99
168,Jiangyou,CN,1587583625,31.77,104.72,51.93,61,98,3.8
169,Meulaboh,ID,1587583625,4.14,96.13,78.71,87,100,3.69
170,Arrondissement de Fontenay-le-Comte,FR,1587583625,46.58,-1.0,68.0,72,82,4.7
171,Ankang,CN,1587583625,32.68,109.02,54.07,57,100,1.9
172,Paraná,AR,1587583625,-31.73,-60.52,89.01,34,60,4.0
173,Kaeo,NZ,1587583625,-35.1,173.78,60.01,94,100,3.0
174,Samarai,PG,1587583384,-10.62,150.67,79.05,80,91,10.0
175,Novovasylivka,UA,1587583625,46.83,35.75,47.32,62,55,9.26
176,Tuatapere,NZ,1587583625,-46.13,167.68,48.99,85,98,1.99
177,Richards Bay,ZA,1587583625,-28.78,32.04,73.08,82,30,7.05
178,Opatija,HR,1587583626,45.34,14.31,59.0,44,0,10.0
179,Nikolskoye,RU,1587583608,59.7,30.79,42.01,56,62,8.95
180,Haines Junction,CA,1587583626,60.75,-137.51,37.2,64,100,1.77
181,Mount Isa,AU,1587583626,-20.73,139.5,77.0,17,0,8.05
182,Berbourg,LU,1587583626,49.73,6.39,62.6,29,0,6.93
183,Fort-Shevchenko,KZ,1587583626,44.51,50.26,49.26,69,77,12.62
184,Christchurch,NZ,1587583626,-43.53,172.63,46.0,100,90,2.86
185,Manggar,ID,1587583626,-2.88,108.27,82.02,80,88,6.17
186,Lata,PT,1587583626,40.16,-8.33,61.0,82,42,5.01
187,Porto Santo,PT,1587583626,33.07,-16.34,60.8,67,40,10.29
188,Half Moon Bay,US,1587583626,37.46,-122.43,73.0,67,1,16.11
189,Touros,BR,1587583448,-5.2,-35.46,84.2,74,20,13.87
190,Dunedin,NZ,1587583626,-45.87,170.5,50.0,92,28,4.72
191,Omsukchan,RU,1587583627,62.53,155.8,7.14,87,41,5.06
192,Amboise,FR,1587583627,47.41,0.98,66.2,48,6,3.36
193,Taoudenni,ML,1587583627,22.68,-3.98,94.78,9,0,7.02
194,Orange Cove,US,1587583627,36.62,-119.31,73.0,53,2,3.51
195,Mirpur Sakro,PK,1587583443,24.55,67.63,82.4,78,47,13.87
196,Jacksonville,US,1587583396,30.33,-81.66,82.0,32,75,10.29
197,Belmonte,BR,1587583627,-15.86,-38.88,78.8,74,40,8.05
198,Kahului,US,1587583522,20.89,-156.47,78.8,61,40,4.7
199,Gizo Government Station,SB,1587583627,-8.1,156.84,80.92,78,91,1.52
200,San Cristobal,VE,1587583627,7.77,-72.22,87.8,58,40,13.87
201,Matagami,CA,1587583627,49.75,-77.63,14.0,66,40,25.28
202,Ilulissat,GL,1587583627,69.22,-51.1,48.2,36,20,17.22
203,Le Port,RE,1587583627,-20.94,55.29,73.4,83,75,10.29
204,Lorengau,PG,1587583627,-2.02,147.27,80.46,82,100,10.04
205,Port Hardy,CA,1587583628,50.7,-127.42,51.8,81,75,3.36
206,Tessalit,ML,1587583628,20.2,1.01,95.0,8,5,8.93
207,Lavrentiya,RU,1587583628,65.58,-171.0,13.44,92,46,3.85
208,Birin,NP,1587583628,26.89,88.07,53.42,49,37,5.55
209,Puerto Escondido,MX,1587583489,15.85,-97.07,87.8,79,20,11.41
210,São João de Pirabas,BR,1587583628,-0.77,-47.18,78.13,87,100,4.5
211,Jardim,BR,1587583628,-21.48,-56.14,91.49,26,0,0.43
212,Cayhagan,PH,1587583628,9.67,122.43,82.83,75,69,5.32
213,Lagoa,PT,1587583628,39.05,-27.98,58.26,77,86,17.63
214,Beringovskiy,RU,1587583628,63.05,179.32,7.3,91,0,8.34
215,Ucluelet,CA,1587583628,48.93,-125.55,53.01,87,90,5.82
216,Vanimo,PG,1587583628,-2.67,141.3,79.45,82,100,4.99
217,Manzhouli,CN,1587583629,49.6,117.43,33.15,57,76,4.12
218,Mayskiy,RU,1587583629,47.69,40.1,48.2,45,20,6.71
219,Nizwá,OM,1587583629,22.93,57.53,83.3,30,53,7.49
220,Grindavik,IS,1587583629,63.84,-22.43,44.6,75,75,14.99
221,Angoram,PG,1587583384,-4.06,144.07,74.89,97,100,3.24
222,Polis,CY,1587583629,35.04,32.43,62.6,82,0,11.41
223,Cherskiy,RU,1587583629,68.75,161.3,10.27,91,0,6.53
224,Airai,TL,1587583629,-8.93,125.41,59.58,65,20,3.27
225,Chokurdakh,RU,1587583629,70.63,147.92,12.83,95,78,5.41
226,Flinders,AU,1587583629,-34.58,150.86,59.0,89,7,4.32
227,Arrondissement de Rennes,FR,1587583629,48.17,-1.67,61.0,67,27,6.93
228,College,US,1587583629,64.86,-147.8,37.0,69,20,3.36
229,Bengkulu,ID,1587583629,-3.8,102.27,78.62,84,98,4.9
230,Marabu,MY,1587583630,4.41,114.01,78.8,100,75,3.36
231,Port Moresby,PG,1587583630,-9.44,147.18,78.8,88,40,6.93
232,Pañgobilian,PH,1587583630,8.8,117.86,81.36,77,79,3.47
233,Mar del Plata,AR,1587583333,-38.0,-57.56,62.6,63,75,11.41
234,Galveston,US,1587583630,29.37,-94.97,79.0,83,90,17.22
235,Vao,NC,1587583630,-22.67,167.48,75.13,80,12,13.27
236,Dunda,TZ,1587583630,-8.12,34.25,67.44,64,79,4.03
237,Chapais,CA,1587583631,49.78,-74.85,17.6,67,90,19.46
238,Avarua,CK,1587583628,-21.21,-159.78,80.6,78,79,8.05
239,Tura,IN,1587583631,25.52,90.22,67.98,77,13,3.96
240,Havøysund,NO,1587583631,71.0,24.66,33.8,59,20,13.87
241,Saint-Philippe,RE,1587583631,-21.36,55.77,73.4,88,20,11.41
242,Guatire,VE,1587583631,10.48,-66.54,82.0,58,45,7.0
243,Kenai,US,1587583631,60.55,-151.26,41.0,86,90,3.36
244,Río Gallegos,AR,1587583391,-51.62,-69.22,57.2,44,40,18.34
245,Mount Gambier,AU,1587583631,-37.83,140.77,50.0,93,99,8.05
246,Aknīste,LV,1587583631,56.16,25.75,48.09,64,62,3.06
247,Paraíso,CR,1587583631,9.84,-83.87,86.0,45,75,12.75
248,Majene,ID,1587583631,-3.54,118.97,78.55,85,100,3.71
249,Jijiga,ET,1587583632,9.35,42.8,66.2,46,98,3.6
250,La Seyne-sur-Mer,FR,1587583632,43.1,5.88,60.01,77,100,4.7
251,Pospelikha,RU,1587583632,51.95,81.77,62.24,36,61,9.1
252,Griffith,US,1587583412,41.53,-87.42,62.6,39,75,11.41
253,Carballo,ES,1587583632,43.21,-8.69,57.0,87,75,3.36
254,Jiayuguan City,CN,1587583632,39.82,98.3,43.0,22,0,5.88
255,Rūdbār,AF,1587583632,30.15,62.6,74.39,47,82,12.73
256,São Miguel do Araguaia,BR,1587583632,-13.28,-50.16,82.8,70,51,2.3
257,Burns Lake,CA,1587583632,54.23,-125.75,48.13,40,76,9.17
258,Saint George,US,1587583632,37.1,-113.58,71.6,26,1,4.7
259,Kununurra,AU,1587583632,-15.77,128.73,69.8,83,11,2.24
260,Kitui,KE,1587583632,-1.37,38.01,67.26,69,97,4.09
261,Karasjok,NO,1587583633,69.47,25.51,33.8,74,40,21.92
262,Batemans Bay,AU,1587583633,-35.72,150.18,52.0,100,70,1.39
263,Acapulco de Juárez,MX,1587583507,16.86,-99.89,82.4,69,40,11.41
264,Norden,DE,1587583633,53.6,7.2,55.99,79,0,3.0
265,Slave Lake,CA,1587583513,55.28,-114.77,50.0,53,75,14.99
266,Zharkent,KZ,1587583633,44.16,80.0,65.82,21,20,7.47
267,Boves,IT,1587583633,44.33,7.55,57.2,67,20,5.82
268,Igarka,RU,1587583633,67.47,86.58,31.59,99,100,6.44
